{'episode': 106, 'reward': 239.5999999999997, 'avg_reward': np.float64(226.36499999999995), 'epsilon': np.float64(0.5919095033576737), 'max_position': 70, 'steps': 501}
{'episode': 107, 'reward': 233.0999999999997, 'avg_reward': np.float64(227.79699999999994), 'epsilon': np.float64(0.5890014275584756), 'max_position': 70, 'steps': 501}
{'episode': 108, 'reward': 183.29999999999973, 'avg_reward': np.float64(229.05199999999994), 'epsilon': np.float64(0.5861078847834078), 'max_position': 72, 'steps': 501}
{'episode': 109, 'reward': 236.70000000000005, 'avg_reward': np.float64(230.7309999999999), 'epsilon': np.float64(0.5832288024041051), 'max_position': 88, 'steps': 501}
{'episode': 110, 'reward': 1176.1000000000004, 'avg_reward': np.float64(241.101), 'epsilon': np.float64(0.5814831180786378), 'max_position': 198, 'steps': 305}
{'episode': 111, 'reward': 168.69999999999987, 'avg_reward': np.float64(242.47099999999995), 'epsilon': np.float64(0.57862714783628), 'max_position': 72, 'steps': 501}
{'episode': 112, 'reward': 39.900000000000155, 'avg_reward': np.float64(241.463), 'epsilon': np.float64(0.5757854502220492), 'max_position': 74, 'steps': 501}
{'episode': 113, 'reward': 1158.6000000000001, 'avg_reward': np.float64(252.78699999999992), 'epsilon': np.float64(0.5742768179902265), 'max_position': 197, 'steps': 267}
{'episode': 114, 'reward': 237.20000000000013, 'avg_reward': np.float64(253.035), 'epsilon': np.float64(0.5714568610227301), 'max_position': 88, 'steps': 501}
{'episode': 115, 'reward': 241.39999999999958, 'avg_reward': np.float64(254.27799999999996), 'epsilon': np.float64(0.5686509967080681), 'max_position': 70, 'steps': 501}
{'episode': 116, 'reward': 250.2000000000001, 'avg_reward': np.float64(256.0469999999999), 'epsilon': np.float64(0.5658591546186187), 'max_position': 88, 'steps': 501}
{'episode': 117, 'reward': 1176.6000000000004, 'avg_reward': np.float64(267.006), 'epsilon': np.float64(0.563944744790992), 'max_position': 197, 'steps': 345}
{'episode': 118, 'reward': 236.4, 'avg_reward': np.float64(267.69899999999996), 'epsilon': np.float64(0.5611764220584632), 'max_position': 88, 'steps': 501}
{'episode': 119, 'reward': 1152.0000000000005, 'avg_reward': np.float64(278.56800000000004), 'epsilon': np.float64(0.5597617173280166), 'max_position': 197, 'steps': 257}
{'episode': 120, 'reward': 237.9999999999996, 'avg_reward': np.float64(279.62799999999993), 'epsilon': np.float64(0.557014299153434), 'max_position': 71, 'steps': 501}
{'episode': 121, 'reward': 240.79999999999967, 'avg_reward': np.float64(281.2459999999999), 'epsilon': np.float64(0.5542806111211808), 'max_position': 70, 'steps': 501}
{'episode': 122, 'reward': 231.49999999999966, 'avg_reward': np.float64(282.59399999999994), 'epsilon': np.float64(0.55156058461527), 'max_position': 70, 'steps': 501}
{'episode': 123, 'reward': 239.80000000000013, 'avg_reward': np.float64(283.01699999999994), 'epsilon': np.float64(0.5488541513626217), 'max_position': 88, 'steps': 501}
{'episode': 124, 'reward': 250.79999999999998, 'avg_reward': np.float64(283.6769999999999), 'epsilon': np.float64(0.5461612434313488), 'max_position': 88, 'steps': 501}
{'episode': 125, 'reward': 252.5999999999998, 'avg_reward': np.float64(284.9699999999999), 'epsilon': np.float64(0.5434817932290511), 'max_position': 154, 'steps': 501}
{'episode': 126, 'reward': 187.39999999999998, 'avg_reward': np.float64(285.5949999999999), 'epsilon': np.float64(0.5408157335011202), 'max_position': 156, 'steps': 501}
{'episode': 127, 'reward': 241.69999999999962, 'avg_reward': np.float64(286.49799999999993), 'epsilon': np.float64(0.5381629973290503), 'max_position': 70, 'steps': 501}
{'episode': 128, 'reward': 1139.9000000000003, 'avg_reward': np.float64(296.8599999999999), 'epsilon': np.float64(0.5369180023272992), 'max_position': 197, 'steps': 236}
{'episode': 129, 'reward': 1161.4000000000003, 'avg_reward': np.float64(306.702), 'epsilon': np.float64(0.5354341867240614), 'max_position': 198, 'steps': 282}
{'episode': 130, 'reward': 250.8, 'avg_reward': np.float64(307.5969999999999), 'epsilon': np.float64(0.5328083446753118), 'max_position': 88, 'steps': 501}
{'episode': 131, 'reward': 1143.7000000000003, 'avg_reward': np.float64(317.291), 'epsilon': np.float64(0.5315603247094649), 'max_position': 197, 'steps': 239}
{'episode': 132, 'reward': 240.89999999999964, 'avg_reward': np.float64(318.08799999999997), 'epsilon': np.float64(0.5289538421733355), 'max_position': 70, 'steps': 501}
{'episode': 133, 'reward': 190.30000000000004, 'avg_reward': np.float64(318.24399999999997), 'epsilon': np.float64(0.5263603854577859), 'max_position': 90, 'steps': 501}
{'episode': 134, 'reward': 1174.6000000000004, 'avg_reward': np.float64(327.9759999999999), 'epsilon': np.float64(0.5246849382814519), 'max_position': 197, 'steps': 325}
{'episode': 135, 'reward': 266.7999999999999, 'avg_reward': np.float64(329.05800000000005), 'epsilon': np.float64(0.5221128152888015), 'max_position': 154, 'steps': 501}
{'episode': 136, 'reward': 240.29999999999967, 'avg_reward': np.float64(329.8309999999999), 'epsilon': np.float64(0.5195535464059128), 'max_position': 70, 'steps': 501}
{'episode': 137, 'reward': 1154.2000000000003, 'avg_reward': np.float64(339.38499999999993), 'epsilon': np.float64(0.5180678202662292), 'max_position': 197, 'steps': 292}
